x, y, z, wartosc
1.36, -0.02, 1.06, 2.39
0.76, -0.01, 0.59, 1.34
0.0, 0.0, 0.0, 0.0
2.38, -0.18, 1.88, 4.08
2.34, -0.16, 1.89, 4.08
2.31, -0.14, 1.89, 4.07
2.27, -0.11, 1.87, 4.02
2.19, -0.09, 1.8, 3.91
2.07, -0.07, 1.69, 3.69
1.87, -0.05, 1.52, 3.34
1.58, -0.03, 1.28, 2.83
1.19, -0.02, 0.95, 2.12
0.67, -0.01, 0.53, 1.19
0.0, 0.0, 0.0, 0.0
2.04, -0.16, 1.58, 3.46
1.99, -0.14, 1.59, 3.44
1.95, -0.12, 1.59, 3.41
1.9, -0.1, 1.57, 3.36
1.83, -0.08, 1.51, 3.26
1.71, -0.06, 1.42, 3.07
1.55, -0.04, 1.27, 2.77
1.31, -0.03, 1.07, 2.35
0.98, -0.01, 0.79, 1.76
0.55, 0.0, 0.44, 0.98
0.0, 0.0, 0.0, 0.0
1.55, -0.12, 1.17, 2.6
1.5, -0.11, 1.18, 2.57
1.46, -0.1, 1.18, 2.54
1.42, -0.08, 1.16, 2.49
1.35, -0.07, 1.12, 2.41
1.26, -0.05, 1.05, 2.26
1.13, -0.04, 0.95, 2.04
0.95, -0.02, 0.79, 1.72
0.71, -0.01, 0.59, 1.29
0.4, 0.0, 0.33, 0.72
0.0, 0.0, 0.0, 0.0
0.88, -0.07, 0.65, 1.46
0.85, -0.06, 0.66, 1.44
0.82, -0.06, 0.65, 1.42
0.79, -0.05, 0.65, 1.38
0.75, -0.04, 0.62, 1.33
0.7, -0.03, 0.58, 1.25
0.62, -0.02, 0.52, 1.12
0.52, -0.01, 0.44, 0.95
0.39, -0.01, 0.33, 0.71
0.22, 0.0, 0.18, 0.4
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
