x, y, z, wartosc
-1.26, -0.23, 2.37, 0.88
-1.23, -0.08, 2.26, 0.96
-1.15, 0.08, 2.11, 1.04
-1.02, 0.21, 1.89, 1.07
-0.85, 0.29, 1.58, 1.02
-0.62, 0.3, 1.17, 0.86
-0.34, 0.21, 0.65, 0.53
0.0, 0.0, 0.0, 0.0
-0.82, -0.72, 2.45, 0.91
-0.98, -0.6, 2.43, 0.84
-1.08, -0.43, 2.4, 0.88
-1.12, -0.23, 2.34, 0.98
-1.11, -0.03, 2.24, 1.1
-1.04, 0.15, 2.09, 1.2
-0.92, 0.29, 1.87, 1.25
-0.75, 0.37, 1.57, 1.19
-0.54, 0.37, 1.16, 0.99
-0.29, 0.25, 0.65, 0.61
0.0, 0.0, 0.0, 0.0
-0.65, -0.95, 2.38, 0.78
-0.85, -0.73, 2.37, 0.79
-0.97, -0.48, 2.34, 0.89
-1.01, -0.23, 2.29, 1.04
-1.0, 0.0, 2.2, 1.2
-0.93, 0.21, 2.05, 1.32
-0.81, 0.35, 1.83, 1.37
-0.65, 0.43, 1.54, 1.31
-0.46, 0.41, 1.14, 1.09
-0.24, 0.27, 0.63, 0.66
0.0, 0.0, 0.0, 0.0
-0.55, -1.08, 2.27, 0.64
-0.75, -0.8, 2.26, 0.71
-0.87, -0.51, 2.24, 0.86
-0.92, -0.23, 2.2, 1.05
-0.9, 0.03, 2.11, 1.24
-0.83, 0.24, 1.97, 1.38
-0.71, 0.39, 1.76, 1.44
-0.56, 0.46, 1.48, 1.37
-0.38, 0.43, 1.1, 1.14
-0.19, 0.28, 0.61, 0.7
0.0, 0.0, 0.0, 0.0
-0.49, -1.13, 2.12, 0.5
-0.68, -0.81, 2.11, 0.61
-0.79, -0.51, 2.09, 0.8
-0.82, -0.22, 2.05, 1.01
-0.79, 0.04, 1.97, 1.22
-0.72, 0.25, 1.84, 1.37
-0.6, 0.39, 1.65, 1.44
-0.46, 0.46, 1.38, 1.38
-0.31, 0.42, 1.02, 1.14
-0.15, 0.28, 0.57, 0.7
0.0, 0.0, 0.0, 0.0
-0.45, -1.08, 1.89, 0.36
-0.62, -0.77, 1.89, 0.5
-0.7, -0.47, 1.87, 0.7
-0.72, -0.19, 1.83, 0.92
-0.68, 0.05, 1.76, 1.13
-0.6, 0.24, 1.65, 1.29
-0.49, 0.37, 1.48, 1.36
-0.37, 0.43, 1.24, 1.3
-0.23, 0.39, 0.92, 1.08
-0.11, 0.25, 0.51, 0.66
0.0, 0.0, 0.0, 0.0
-0.41, -0.95, 1.58, 0.23
-0.53, -0.67, 1.58, 0.38
-0.59, -0.41, 1.57, 0.57
-0.59, -0.16, 1.54, 0.78
-0.55, 0.05, 1.48, 0.97
-0.47, 0.21, 1.38, 1.12
-0.38, 0.32, 1.24, 1.18
-0.27, 0.37, 1.04, 1.13
-0.17, 0.34, 0.77, 0.94
-0.07, 0.22, 0.43, 0.57
0.0, 0.0, 0.0, 0.0
-0.33, -0.72, 1.17, 0.12
-0.41, -0.51, 1.17, 0.25
-0.45, -0.31, 1.16, 0.41
-0.44, -0.12, 1.14, 0.58
-0.4, 0.04, 1.1, 0.74
-0.33, 0.16, 1.02, 0.85
-0.26, 0.24, 0.92, 0.9
-0.18, 0.28, 0.77, 0.87
-0.1, 0.25, 0.57, 0.72
-0.04, 0.16, 0.32, 0.44
0.0, 0.0, 0.0, 0.0
-0.21, -0.41, 0.65, 0.04
-0.24, -0.29, 0.65, 0.12
-0.25, -0.17, 0.65, 0.22
-0.24, -0.07, 0.63, 0.32
-0.22, 0.02, 0.61, 0.41
-0.18, 0.09, 0.57, 0.48
-0.13, 0.14, 0.51, 0.51
-0.09, 0.16, 0.43, 0.5
-0.05, 0.14, 0.32, 0.41
-0.02, 0.09, 0.18, 0.25
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
-1.34, 0.0, 2.53, 1.19
-1.0, 0.36, 2.53, 1.9
-0.76, 0.65, 2.51, 2.4
-0.61, 0.86, 2.46, 2.71
-0.52, 0.99, 2.37, 2.84
-0.47, 1.04, 2.21, 2.79
-0.43, 1.01, 1.98, 2.56
-0.39, 0.89, 1.66, 2.16
-0.32, 0.68, 1.24, 1.6
-0.2, 0.39, 0.69, 0.87
0.0, 0.0, 0.0, 0.0
-1.32, 0.22, 2.53, 1.43
-1.07, 0.44, 2.53, 1.89
-0.89, 0.63, 2.51, 2.25
-0.74, 0.78, 2.46, 2.5
-0.63, 0.88, 2.37, 2.61
-0.55, 0.93, 2.21, 2.59
-0.47, 0.9, 1.98, 2.42
-0.39, 0.81, 1.66, 2.08
-0.29, 0.63, 1.23, 1.58
-0.16, 0.37, 0.68, 0.89
0.0, 0.0, 0.0, 0.0
-1.27, 0.42, 2.51, 1.66
-1.11, 0.52, 2.51, 1.92
-0.97, 0.63, 2.49, 2.15
-0.85, 0.72, 2.44, 2.32
-0.73, 0.79, 2.35, 2.4
-0.63, 0.82, 2.19, 2.39
-0.52, 0.8, 1.96, 2.25
-0.41, 0.72, 1.64, 1.96
-0.29, 0.57, 1.22, 1.5
-0.16, 0.33, 0.68, 0.86
0.0, 0.0, 0.0, 0.0
-1.19, 0.58, 2.46, 1.86
-1.1, 0.6, 2.46, 1.96
-1.01, 0.64, 2.44, 2.07
-0.91, 0.68, 2.39, 2.16
-0.81, 0.71, 2.3, 2.2
-0.7, 0.72, 2.15, 2.17
-0.58, 0.7, 1.92, 2.04
-0.45, 0.63, 1.61, 1.79
-0.31, 0.5, 1.19, 1.38
-0.16, 0.29, 0.66, 0.79
0.0, 0.0, 0.0, 0.0
-1.08, 0.71, 2.37, 2.0
-1.06, 0.67, 2.37, 1.98
-1.01, 0.65, 2.35, 1.99
-0.94, 0.65, 2.3, 2.0
-0.86, 0.65, 2.21, 2.0
-0.75, 0.63, 2.06, 1.94
-0.63, 0.6, 1.84, 1.81
-0.49, 0.53, 1.54, 1.58
-0.34, 0.41, 1.14, 1.21
-0.18, 0.24, 0.63, 0.7
0.0, 0.0, 0.0, 0.0
-0.95, 0.78, 2.21, 2.05
-0.97, 0.7, 2.21, 1.94
-0.96, 0.65, 2.19, 1.88
-0.93, 0.61, 2.15, 1.83
-0.86, 0.58, 2.06, 1.78
-0.77, 0.54, 1.92, 1.69
-0.66, 0.5, 1.72, 1.55
-0.52, 0.43, 1.43, 1.34
-0.37, 0.33, 1.06, 1.02
-0.19, 0.19, 0.59, 0.59
0.0, 0.0, 0.0, 0.0
-0.79, 0.79, 1.98, 1.98
-0.85, 0.7, 1.98, 1.83
-0.87, 0.62, 1.96, 1.71
-0.86, 0.56, 1.92, 1.62
-0.82, 0.5, 1.84, 1.53
-0.75, 0.45, 1.72, 1.42
-0.65, 0.39, 1.53, 1.27
-0.53, 0.33, 1.28, 1.08
-0.37, 0.24, 0.95, 0.81
-0.2, 0.14, 0.52, 0.46
0.0, 0.0, 0.0, 0.0
-0.62, 0.73, 1.66, 1.78
-0.69, 0.64, 1.66, 1.61
-0.73, 0.55, 1.64, 1.47
-0.74, 0.48, 1.61, 1.35
-0.72, 0.42, 1.54, 1.23
-0.67, 0.35, 1.43, 1.11
-0.6, 0.29, 1.28, 0.98
-0.49, 0.23, 1.07, 0.81
-0.35, 0.16, 0.79, 0.6
-0.19, 0.09, 0.44, 0.33
0.0, 0.0, 0.0, 0.0
-0.43, 0.59, 1.24, 1.39
-0.49, 0.51, 1.23, 1.25
-0.54, 0.44, 1.22, 1.12
-0.56, 0.37, 1.19, 1.0
-0.56, 0.31, 1.14, 0.89
-0.53, 0.25, 1.06, 0.78
-0.48, 0.19, 0.95, 0.66
-0.4, 0.14, 0.79, 0.53
-0.29, 0.09, 0.58, 0.38
-0.16, 0.05, 0.32, 0.21
0.0, 0.0, 0.0, 0.0
-0.22, 0.35, 0.69, 0.81
-0.26, 0.3, 0.68, 0.72
-0.3, 0.26, 0.68, 0.64
-0.32, 0.21, 0.66, 0.56
-0.32, 0.17, 0.63, 0.48
-0.31, 0.13, 0.59, 0.41
-0.28, 0.1, 0.52, 0.34
-0.24, 0.06, 0.44, 0.26
-0.18, 0.04, 0.32, 0.18
-0.1, 0.02, 0.18, 0.09
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
-1.5, 0.84, 2.4, 1.74
-1.06, 0.95, 2.4, 2.29
-0.63, 0.97, 2.38, 2.71
-0.25, 0.91, 2.34, 2.99
0.08, 0.79, 2.25, 3.11
0.34, 0.63, 2.1, 3.07
0.51, 0.46, 1.88, 2.85
0.58, 0.29, 1.58, 2.44
0.53, 0.14, 1.17, 1.84
0.34, 0.04, 0.65, 1.03
0.0, 0.0, 0.0, 0.0
-1.3, 1.02, 2.4, 2.12
-0.86, 1.09, 2.4, 2.62
-0.48, 1.09, 2.38, 2.99
-0.15, 1.03, 2.34, 3.22
0.12, 0.92, 2.25, 3.29
0.31, 0.78, 2.11, 3.21
0.43, 0.62, 1.9, 2.95
0.47, 0.45, 1.59, 2.51
0.41, 0.28, 1.18, 1.87
0.26, 0.13, 0.66, 1.04
0.0, 0.0, 0.0, 0.0
-1.09, 1.15, 2.38, 2.44
-0.67, 1.18, 2.38, 2.89
-0.32, 1.16, 2.37, 3.21
-0.03, 1.1, 2.33, 3.4
0.18, 1.01, 2.25, 3.43
0.32, 0.88, 2.11, 3.31
0.4, 0.73, 1.89, 3.02
0.4, 0.57, 1.59, 2.56
0.34, 0.38, 1.19, 1.91
0.2, 0.19, 0.66, 1.06
0.0, 0.0, 0.0, 0.0
-0.88, 1.23, 2.34, 2.68
-0.48, 1.22, 2.34, 3.08
-0.16, 1.19, 2.32, 3.36
0.08, 1.13, 2.29, 3.5
0.25, 1.05, 2.21, 3.51
0.35, 0.94, 2.07, 3.36
0.39, 0.8, 1.87, 3.06
0.37, 0.64, 1.57, 2.58
0.29, 0.45, 1.17, 1.91
0.17, 0.24, 0.65, 1.06
0.0, 0.0, 0.0, 0.0
-0.69, 1.26, 2.25, 2.82
-0.31, 1.22, 2.25, 3.16
-0.02, 1.17, 2.24, 3.39
0.19, 1.11, 2.2, 3.51
0.32, 1.04, 2.13, 3.49
0.39, 0.94, 2.0, 3.33
0.39, 0.82, 1.8, 3.02
0.35, 0.67, 1.52, 2.54
0.26, 0.49, 1.13, 1.89
0.15, 0.27, 0.63, 1.04
0.0, 0.0, 0.0, 0.0
-0.5, 1.23, 2.1, 2.83
-0.15, 1.17, 2.1, 3.11
0.1, 1.11, 2.09, 3.3
0.27, 1.05, 2.06, 3.39
0.38, 0.98, 1.99, 3.35
0.42, 0.9, 1.87, 3.19
0.4, 0.8, 1.69, 2.89
0.34, 0.66, 1.42, 2.43
0.25, 0.49, 1.06, 1.8
0.13, 0.27, 0.59, 1.0
0.0, 0.0, 0.0, 0.0
-0.34, 1.13, 1.88, 2.68
-0.03, 1.05, 1.88, 2.9
0.19, 0.99, 1.88, 3.05
0.33, 0.94, 1.85, 3.11
0.4, 0.88, 1.79, 3.07
0.42, 0.81, 1.68, 2.92
0.4, 0.73, 1.52, 2.64
0.33, 0.61, 1.28, 2.22
0.24, 0.46, 0.95, 1.65
0.12, 0.26, 0.53, 0.91
0.0, 0.0, 0.0, 0.0
-0.2, 0.97, 1.58, 2.35
0.05, 0.89, 1.58, 2.51
0.23, 0.83, 1.57, 2.62
0.34, 0.78, 1.55, 2.67
0.39, 0.73, 1.5, 2.63
0.4, 0.68, 1.41, 2.49
0.37, 0.61, 1.27, 2.25
0.3, 0.52, 1.07, 1.89
0.21, 0.39, 0.8, 1.41
0.11, 0.22, 0.45, 0.78
0.0, 0.0, 0.0, 0.0
-0.09, 0.73, 1.17, 1.81
0.09, 0.66, 1.17, 1.92
0.22, 0.61, 1.17, 1.99
0.29, 0.57, 1.15, 2.01
0.33, 0.53, 1.11, 1.98
0.33, 0.5, 1.05, 1.88
0.3, 0.45, 0.95, 1.7
0.25, 0.39, 0.8, 1.43
0.17, 0.3, 0.6, 1.06
0.09, 0.17, 0.33, 0.59
0.0, 0.0, 0.0, 0.0
-0.02, 0.41, 0.65, 1.03
0.08, 0.36, 0.65, 1.09
0.14, 0.33, 0.65, 1.12
0.19, 0.31, 0.64, 1.13
0.2, 0.29, 0.62, 1.11
0.2, 0.27, 0.58, 1.06
0.18, 0.25, 0.53, 0.96
0.15, 0.21, 0.44, 0.81
0.1, 0.16, 0.33, 0.6
0.05, 0.09, 0.18, 0.33
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
1.34, 0.75, 2.53, 4.62
1.17, 0.94, 2.53, 4.63
0.99, 1.08, 2.5, 4.57
0.81, 1.17, 2.44, 4.43
0.64, 1.21, 2.33, 4.18
0.47, 1.2, 2.17, 3.83
0.32, 1.11, 1.93, 3.36
0.19, 0.95, 1.61, 2.75
0.09, 0.72, 1.18, 1.99
0.02, 0.4, 0.65, 1.08
0.0, 0.0, 0.0, 0.0
1.3, 0.58, 2.53, 4.41
1.19, 0.77, 2.52, 4.48
1.06, 0.92, 2.5, 4.48
0.92, 1.03, 2.44, 4.39
0.77, 1.09, 2.33, 4.19
0.62, 1.09, 2.16, 3.88
0.47, 1.04, 1.93, 3.43
0.33, 0.9, 1.6, 2.83
0.2, 0.69, 1.18, 2.07
0.09, 0.39, 0.65, 1.13
0.0, 0.0, 0.0, 0.0
1.2, 0.52, 2.51, 4.23
1.15, 0.67, 2.5, 4.33
1.08, 0.81, 2.48, 4.37
0.99, 0.91, 2.42, 4.31
0.87, 0.97, 2.31, 4.16
0.74, 0.99, 2.15, 3.88
0.6, 0.95, 1.91, 3.46
0.45, 0.84, 1.59, 2.88
0.29, 0.65, 1.18, 2.12
0.14, 0.37, 0.65, 1.17
0.0, 0.0, 0.0, 0.0
1.05, 0.53, 2.46, 4.04
1.07, 0.63, 2.46, 4.15
1.05, 0.72, 2.43, 4.21
1.0, 0.81, 2.37, 4.18
0.93, 0.86, 2.27, 4.06
0.82, 0.88, 2.11, 3.81
0.69, 0.85, 1.88, 3.42
0.54, 0.76, 1.56, 2.87
0.37, 0.6, 1.15, 2.12
0.19, 0.35, 0.64, 1.18
0.0, 0.0, 0.0, 0.0
0.87, 0.58, 2.37, 3.81
0.95, 0.61, 2.36, 3.92
0.98, 0.66, 2.34, 3.99
0.98, 0.72, 2.28, 3.98
0.94, 0.76, 2.18, 3.88
0.86, 0.77, 2.03, 3.66
0.75, 0.75, 1.8, 3.3
0.6, 0.68, 1.5, 2.78
0.43, 0.53, 1.11, 2.07
0.23, 0.31, 0.61, 1.15
0.0, 0.0, 0.0, 0.0
0.67, 0.63, 2.21, 3.52
0.8, 0.61, 2.21, 3.61
0.88, 0.61, 2.19, 3.68
0.92, 0.63, 2.13, 3.68
0.91, 0.65, 2.04, 3.6
0.85, 0.66, 1.89, 3.41
0.76, 0.64, 1.69, 3.09
0.63, 0.58, 1.4, 2.61
0.46, 0.46, 1.04, 1.95
0.25, 0.27, 0.57, 1.09
0.0, 0.0, 0.0, 0.0
0.47, 0.67, 1.98, 3.12
0.63, 0.59, 1.98, 3.2
0.74, 0.55, 1.96, 3.25
0.81, 0.54, 1.91, 3.26
0.83, 0.54, 1.83, 3.2
0.8, 0.54, 1.7, 3.04
0.73, 0.52, 1.51, 2.76
0.61, 0.47, 1.26, 2.34
0.45, 0.38, 0.93, 1.76
0.25, 0.23, 0.51, 0.98
0.0, 0.0, 0.0, 0.0
0.29, 0.65, 1.66, 2.61
0.46, 0.54, 1.66, 2.66
0.58, 0.47, 1.64, 2.7
0.66, 0.44, 1.6, 2.7
0.7, 0.42, 1.53, 2.65
0.69, 0.41, 1.42, 2.53
0.64, 0.4, 1.27, 2.3
0.54, 0.36, 1.05, 1.96
0.41, 0.29, 0.78, 1.47
0.22, 0.17, 0.43, 0.83
0.0, 0.0, 0.0, 0.0
0.14, 0.56, 1.24, 1.93
0.29, 0.44, 1.23, 1.96
0.4, 0.37, 1.22, 1.99
0.48, 0.32, 1.19, 1.99
0.52, 0.3, 1.14, 1.95
0.52, 0.28, 1.06, 1.86
0.49, 0.27, 0.94, 1.7
0.42, 0.24, 0.78, 1.45
0.32, 0.2, 0.58, 1.1
0.18, 0.12, 0.32, 0.62
0.0, 0.0, 0.0, 0.0
0.04, 0.35, 0.69, 1.07
0.13, 0.27, 0.68, 1.08
0.21, 0.21, 0.68, 1.09
0.26, 0.18, 0.66, 1.1
0.29, 0.16, 0.63, 1.08
0.3, 0.14, 0.59, 1.03
0.28, 0.14, 0.52, 0.94
0.25, 0.12, 0.43, 0.8
0.19, 0.1, 0.32, 0.61
0.1, 0.06, 0.18, 0.34
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
1.5, 0.0, 2.4, 3.9
1.34, -0.39, 2.38, 3.34
1.26, -0.67, 2.33, 2.92
1.22, -0.85, 2.24, 2.6
1.19, -0.93, 2.1, 2.36
1.16, -0.93, 1.9, 2.13
1.09, -0.86, 1.65, 1.89
0.97, -0.72, 1.35, 1.6
0.76, -0.52, 0.97, 1.21
0.45, -0.28, 0.52, 0.69
0.0, 0.0, 0.0, 0.0
1.5, -0.02, 2.4, 3.87
1.29, -0.4, 2.38, 3.27
1.17, -0.69, 2.32, 2.8
1.09, -0.88, 2.23, 2.44
1.04, -0.98, 2.09, 2.16
1.0, -0.99, 1.9, 1.9
0.94, -0.93, 1.65, 1.65
0.83, -0.8, 1.34, 1.37
0.66, -0.6, 0.97, 1.03
0.39, -0.33, 0.52, 0.58
0.0, 0.0, 0.0, 0.0
1.49, -0.08, 2.38, 3.79
1.26, -0.42, 2.35, 3.19
1.11, -0.69, 2.29, 2.72
1.01, -0.87, 2.2, 2.34
0.95, -0.98, 2.06, 2.02
0.89, -1.02, 1.87, 1.74
0.82, -0.97, 1.63, 1.47
0.71, -0.85, 1.32, 1.19
0.56, -0.64, 0.96, 0.87
0.33, -0.36, 0.52, 0.48
0.0, 0.0, 0.0, 0.0
1.46, -0.16, 2.34, 3.64
1.24, -0.44, 2.29, 3.1
1.08, -0.67, 2.23, 2.64
0.97, -0.84, 2.13, 2.26
0.88, -0.96, 2.0, 1.92
0.8, -1.0, 1.81, 1.62
0.72, -0.97, 1.58, 1.33
0.61, -0.86, 1.29, 1.04
0.47, -0.67, 0.93, 0.73
0.27, -0.38, 0.51, 0.39
0.0, 0.0, 0.0, 0.0
1.4, -0.24, 2.25, 3.41
1.21, -0.45, 2.19, 2.95
1.06, -0.64, 2.12, 2.54
0.94, -0.79, 2.03, 2.17
0.83, -0.9, 1.9, 1.83
0.73, -0.95, 1.72, 1.51
0.63, -0.93, 1.51, 1.21
0.52, -0.84, 1.23, 0.91
0.38, -0.66, 0.89, 0.62
0.21, -0.38, 0.49, 0.32
0.0, 0.0, 0.0, 0.0
1.31, -0.32, 2.1, 3.1
1.16, -0.45, 2.04, 2.74
1.02, -0.59, 1.96, 2.4
0.9, -0.71, 1.87, 2.06
0.78, -0.81, 1.75, 1.72
0.67, -0.86, 1.59, 1.4
0.56, -0.86, 1.39, 1.09
0.44, -0.78, 1.14, 0.79
0.31, -0.63, 0.83, 0.51
0.16, -0.37, 0.45, 0.25
0.0, 0.0, 0.0, 0.0
1.18, -0.36, 1.88, 2.69
1.06, -0.43, 1.81, 2.45
0.95, -0.52, 1.74, 2.18
0.83, -0.61, 1.65, 1.88
0.72, -0.69, 1.54, 1.57
0.6, -0.74, 1.41, 1.27
0.48, -0.75, 1.23, 0.96
0.36, -0.69, 1.01, 0.68
0.24, -0.56, 0.74, 0.42
0.12, -0.34, 0.4, 0.19
0.0, 0.0, 0.0, 0.0
0.99, -0.37, 1.58, 2.19
0.92, -0.38, 1.51, 2.05
0.83, -0.42, 1.44, 1.85
0.73, -0.48, 1.37, 1.62
0.62, -0.55, 1.28, 1.35
0.51, -0.59, 1.16, 1.08
0.39, -0.6, 1.02, 0.81
0.28, -0.57, 0.84, 0.55
0.17, -0.47, 0.61, 0.32
0.08, -0.28, 0.34, 0.13
0.0, 0.0, 0.0, 0.0
0.73, -0.32, 1.17, 1.58
0.7, -0.3, 1.11, 1.52
0.65, -0.31, 1.06, 1.4
0.57, -0.34, 1.0, 1.23
0.48, -0.38, 0.94, 1.04
0.39, -0.42, 0.85, 0.82
0.29, -0.43, 0.75, 0.61
0.2, -0.41, 0.62, 0.4
0.11, -0.34, 0.45, 0.22
0.05, -0.21, 0.25, 0.08
0.0, 0.0, 0.0, 0.0
0.41, -0.2, 0.65, 0.85
0.4, -0.17, 0.61, 0.84
0.37, -0.17, 0.58, 0.79
0.33, -0.18, 0.55, 0.7
0.28, -0.2, 0.51, 0.59
0.22, -0.22, 0.47, 0.47
0.16, -0.23, 0.41, 0.34
0.1, -0.22, 0.34, 0.22
0.05, -0.19, 0.25, 0.12
0.02, -0.12, 0.14, 0.04
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
2.0, 0.0, 1.35, 3.35
1.49, -0.54, 1.34, 2.28
1.13, -0.96, 1.3, 1.47
0.9, -1.26, 1.23, 0.87
0.75, -1.44, 1.13, 0.45
0.67, -1.5, 1.01, 0.18
0.61, -1.44, 0.86, 0.04
0.55, -1.26, 0.69, -0.02
0.45, -0.96, 0.49, -0.03
0.27, -0.54, 0.26, -0.01
0.0, 0.0, 0.0, 0.0
1.97, -0.33, 1.35, 3.0
1.59, -0.65, 1.31, 2.25
1.3, -0.93, 1.25, 1.62
1.07, -1.14, 1.18, 1.11
0.89, -1.28, 1.09, 0.7
0.76, -1.34, 0.98, 0.39
0.63, -1.31, 0.85, 0.17
0.52, -1.17, 0.68, 0.03
0.38, -0.91, 0.49, -0.04
0.21, -0.52, 0.26, -0.04
0.0, 0.0, 0.0, 0.0
1.9, -0.62, 1.34, 2.62
1.63, -0.78, 1.28, 2.13
1.4, -0.94, 1.22, 1.67
1.18, -1.08, 1.15, 1.26
0.99, -1.18, 1.07, 0.88
0.81, -1.23, 0.98, 0.56
0.65, -1.2, 0.86, 0.3
0.49, -1.08, 0.71, 0.11
0.33, -0.86, 0.52, -0.01
0.17, -0.5, 0.28, -0.05
0.0, 0.0, 0.0, 0.0
1.78, -0.87, 1.31, 2.22
1.61, -0.9, 1.24, 1.95
1.43, -0.97, 1.18, 1.64
1.24, -1.04, 1.12, 1.32
1.04, -1.11, 1.06, 0.99
0.84, -1.14, 0.99, 0.68
0.64, -1.11, 0.88, 0.41
0.46, -1.01, 0.74, 0.19
0.28, -0.8, 0.55, 0.03
0.13, -0.48, 0.31, -0.04
0.0, 0.0, 0.0, 0.0
1.62, -1.06, 1.26, 1.82
1.54, -1.0, 1.18, 1.72
1.4, -1.0, 1.13, 1.54
1.24, -1.02, 1.09, 1.3
1.04, -1.05, 1.05, 1.03
0.83, -1.06, 0.99, 0.76
0.62, -1.03, 0.9, 0.49
0.42, -0.93, 0.77, 0.26
0.24, -0.74, 0.59, 0.09
0.1, -0.44, 0.34, -0.01
0.0, 0.0, 0.0, 0.0
1.42, -1.17, 1.18, 1.43
1.4, -1.06, 1.1, 1.45
1.32, -1.01, 1.06, 1.37
1.18, -0.99, 1.03, 1.22
1.0, -0.99, 1.01, 1.01
0.79, -0.98, 0.97, 0.78
0.58, -0.94, 0.9, 0.54
0.38, -0.85, 0.79, 0.32
0.21, -0.67, 0.61, 0.14
0.08, -0.4, 0.35, 0.03
0.0, 0.0, 0.0, 0.0
1.19, -1.19, 1.06, 1.06
1.22, -1.05, 0.99, 1.15
1.17, -0.97, 0.95, 1.15
1.06, -0.93, 0.94, 1.07
0.9, -0.91, 0.94, 0.93
0.72, -0.88, 0.92, 0.75
0.52, -0.84, 0.86, 0.55
0.34, -0.74, 0.76, 0.36
0.18, -0.59, 0.6, 0.19
0.06, -0.35, 0.35, 0.06
0.0, 0.0, 0.0, 0.0
0.93, -1.09, 0.89, 0.72
0.98, -0.96, 0.83, 0.85
0.96, -0.88, 0.81, 0.89
0.88, -0.82, 0.81, 0.86
0.75, -0.79, 0.81, 0.78
0.6, -0.75, 0.81, 0.65
0.44, -0.7, 0.77, 0.51
0.28, -0.62, 0.69, 0.35
0.14, -0.48, 0.55, 0.2
0.04, -0.28, 0.32, 0.08
0.0, 0.0, 0.0, 0.0
0.64, -0.88, 0.66, 0.42
0.7, -0.77, 0.62, 0.55
0.7, -0.69, 0.6, 0.61
0.64, -0.65, 0.61, 0.61
0.56, -0.61, 0.63, 0.57
0.44, -0.57, 0.63, 0.5
0.32, -0.52, 0.61, 0.41
0.2, -0.45, 0.55, 0.3
0.1, -0.35, 0.44, 0.19
0.03, -0.2, 0.26, 0.08
0.0, 0.0, 0.0, 0.0
0.33, -0.52, 0.37, 0.18
0.37, -0.45, 0.34, 0.26
0.38, -0.41, 0.34, 0.31
0.35, -0.38, 0.35, 0.32
0.3, -0.35, 0.36, 0.31
0.24, -0.33, 0.37, 0.28
0.18, -0.29, 0.36, 0.24
0.11, -0.25, 0.32, 0.18
0.05, -0.19, 0.26, 0.12
0.02, -0.11, 0.15, 0.06
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
-0.84, -1.5, 2.4, 0.06
-0.66, -1.52, 2.26, 0.08
-0.6, -1.44, 2.13, 0.09
-0.62, -1.29, 2.0, 0.1
-0.69, -1.08, 1.87, 0.1
-0.76, -0.84, 1.71, 0.1
-0.81, -0.6, 1.5, 0.09
-0.79, -0.37, 1.25, 0.08
-0.68, -0.18, 0.92, 0.06
-0.43, -0.05, 0.51, 0.03
0.0, 0.0, 0.0, 0.0
-1.02, -1.3, 2.4, 0.08
